Date,SET,PTTEP.BK,TTB.BK,KTB.BK,MEGA.BK,CPALL.BK,CENTEL.BK,MINT.BK,ADVANC.BK,HANA.BK,OSP.BK,1AM-GEM,Portfolio
"June 1, 2022",-5.89%,-6.08%,-3.20%,2.61%,-2.93%,-9.91%,4.65%,-2.90%,-10.95%,-14.27%,-1.45%,-1.24%,-4.44%
"July 1, 2022",0.51%,1.86%,-2.47%,2.55%,-3.53%,2.06%,-4.65%,-1.48%,3.29%,11.57%,-9.17%,-1.43%,0.00%
"August 1, 2022",3.89%,3.63%,5.67%,6.10%,1.02%,0.41%,1.77%,-2.26%,-4.58%,-6.78%,0.00%,1.02%,0.50%
"September 1, 2022",-3.06%,-4.86%,-4.84%,-1.19%,-6.28%,-8.92%,13.65%,-21.18%,1.55%,-15.12%,-13.70%,-0.40%,-6.09%
"October 1, 2022",1.20%,12.30%,11.69%,4.68%,-4.42%,6.45%,3.51%,6.39%,-2.07%,-5.60%,-2.79%,-4.50%,3.01%
"November 1, 2022",1.64%,3.52%,2.90%,0.57%,5.50%,8.00%,-2.49%,8.48%,-1.05%,39.82%,6.39%,-2.99%,7.16%
"December 1, 2022",2.02%,-6.31%,0.71%,0.57%,0.00%,4.88%,1.50%,4.76%,3.13%,-0.48%,0.00%,2.19%,0.88%
"January 1, 2023",0.17%,-2.87%,4.17%,-1.14%,11.12%,-2.60%,3.42%,3.05%,0.00%,16.11%,-0.89%,-3.56%,3.04%
"February 1, 2023",-2.98%,-13.39%,-4.88%,-1.15%,-12.74%,-7.01%,8.30%,0.75%,3.53%,-4.65%,14.13%,2.99%,-1.71%
"March 1, 2023",-0.82%,0.33%,1.42%,-4.73%,-9.69%,0.00%,-0.89%,-3.80%,4.83%,-13.91%,-4.76%,-0.64%,-3.12%
"April 1, 2023",-5.10%,-1.68%,2.09%,8.70%,-1.81%,4.34%,-2.26%,-2.35%,0.94%,-19.13%,-4.15%,-1.51%,-1.53%
"May 1, 2023",0.27%,-5.91%,8.59%,5.41%,-5.00%,-1.56%,-8.58%,6.90%,-1.41%,5.85%,-1.71%,-3.57%,0.26%
"June 1, 2023",-1.99%,7.26%,-1.92%,2.08%,-3.92%,-1.98%,-1.50%,1.47%,1.41%,7.13%,2.55%,-0.11%,1.26%
"July 1, 2023",3.46%,6.14%,10.41%,5.52%,3.28%,1.59%,-4.65%,-3.72%,5.46%,7.15%,-1.70%,5.49%,2.95%
"August 1, 2023",0.63%,-0.63%,-0.58%,-6.03%,12.14%,2.72%,1.05%,0.75%,-4.53%,20.42%,2.53%,-1.86%,2.78%
"September 1, 2023",-6.23%,7.59%,0.58%,-1.57%,1.70%,-7.56%,-1.58%,-6.20%,5.41%,-4.52%,-18.23%,-0.38%,-2.44%
